target,global src apec.norm,global src TBabs.nH,global src gaussian.norm,global src gaussian_7.norm,1 bkg powerlaw.PhoIndex,2 bkg powerlaw.PhoIndex,3 bkg powerlaw.PhoIndex
hs031501_s,0.09022718498556 -1,0.0653557101526 -1,0.025860836705375315 -1,0.0024695816473123433 -1,0.7266154336734694 -1,0.6804635378228783 -1,0.6771376166044776 -1
hs031701_s,0.43434469539692 -1,0.0210957289737 -1,0.027808110100937797 -1,0.0024844775932421795 -1,0.8920288015463917 -1,0.8495256217094888 -1,0.8488855017601389 -1
hs031801_s,0.20739902762936 -1,0.033135277669200006 -1,0.023766948353177674 -1,0.0011370129117055825 -1,0.7912624455337691 -1,0.7812648781446542 -1,0.805537585706751 -1
hs031901_s,0.1552792150924 -1,0.0410452673502 -1,0.032824119861265655 -1,0.0034395158606932877 -1,0.821253277262181 -1,0.7671325979764344 -1,0.7808488211372074 -1
hs032001_s,0.3739166207056 -1,0.012572551085200001 -1,0.029697656935699295 -1,0.003530819082713223 -1,0.8382977516968325 -1,0.8347066011235955 -1,0.8454532376126126 -1
hs032101_s,0.38128123743388 -1,0.0260161637032 -1,0.04049677755057052 -1,0.00491809118655406 -1,0.824865 -1,0.794909004237288 -1,0.8328394272648083 -1
hs032401_s,0.3602917449768 -1,0.0155393668853 -1,0.02276883868649554 -1,0.001960182926104981 -1,0.8680229052197802 -1,0.8453995890911304 -1,0.8635839471594445 -1
hs032501_s,0.20438909714412 -1,0.021437325427 -1,0.024939709796782467 -1,0.0015191795559692301 -1,0.7400154905913978 -1,0.697396917158516 -1,0.7282695599824869 -1
hs032701_s,0.08792734364372 -1,0.0505411738908 -1,0.03273050065602449 -1,0.0019462690247102558 -1,0.6382077724358974 -1,0.5786701171874999 -1,0.583485613449692 -1
hs032801_s,0.43910323382772 -1,0.0134495859856 -1,0.02806536553734496 -1,0.001961345489157917 -1,0.9149245696107785 -1,0.8585611795774648 -1,0.8748616071428572 -1
hs033001_s,0.13888355201504 -1,0.034952164588 -1,0.023065000000000002 -1,0.002275 -1,0.822182186123348 -1,0.8305481681034482 -1,0.8255758717811159 -1
