target,global src apec.norm,global src TBabs.nH,global src gaussian.norm,global src gaussian_7.norm,1 bkg powerlaw.PhoIndex,2 bkg powerlaw.PhoIndex,3 bkg powerlaw.PhoIndex
hs019401_s,0.4214333694597706 -1,0.0190328443458 -1,0.02601356279725207 -1,0.0021891821384534085 -1,0.8177522764008621 -1,0.7878092883116058 -1,0.7943932926538211 -1
hs019501_s,0.20972380110854283 -1,0.0518636508411 -1,0.03237432003945411 -1,0.004007167030236927 -1,0.7909796106557377 -1,0.7413797297297297 -1,0.7662175751640495 -1
hs019801_s,0.2721175532484427 -1,0.0385390940454 -1,0.030034616617894284 -1,0.004130200267729283 -1,0.6750876037822878 -1,0.6257455814169139 -1,0.6321338110902256 -1
hs019901_s,0.4048500076426193 -1,0.0147867056925 -1,0.030037780727526952 -1,0.002775247908394296 -1,0.8909008474576271 -1,0.8568437136760536 -1,0.8811210446240287 -1
hs020001_s,0.2898124308090657 -1,0.0279854687478 -1,0.03154632019424498 -1,0.004432849873430802 -1,0.7272188473796034 -1,0.6779667503238341 -1,0.7060547607731305 -1
hs020101_s,0.24883435828294606 -1,0.0390461003702 -1,0.027096779659330935 -1,0.0029109640298027413 -1,0.7741589681688126 -1,0.7266698383350173 -1,0.7568534544036061 -1
hs020301_s,0.2867653583482839 -1,0.042548198149900004 -1,0.03207529581964011 -1,0.0059863049893135395 -1,0.8562057236013817 -1,0.8336945344129555 -1,0.8407950413223141 -1
hs020501_s,0.20256787067689003 -1,0.0557039882667 -1,0.03266843979966415 -1,0.004022203903451294 -1,0.8406165403391572 -1,0.8055135108635971 -1,0.8113841106965174 -1
hs020601_s,0.25514635564740745 -1,0.0276674455465 -1,0.03621944929120014 -1,0.005244894168426965 -1,0.8100196428571429 -1,0.8193079520525244 -1,0.7931949945887447 -1
hs020701_s,0.35359424681924284 -1,0.0188095909099 -1,0.03031880240681081 -1,0.00417293367431665 -1,0.8096560480251347 -1,0.7628726845804565 -1,0.7746609500401284 -1
hs020801_s,0.3634318675784394 -1,0.024465578215 -1,0.03214721041316043 -1,0.004742464759273492 -1,0.8156419921875 -1,0.8007991470478822 -1,0.8012561642186371 -1
hs020901_s,0.20065842983666807 -1,0.0456454964715 -1,0.031503013552191456 -1,0.003988674695679162 -1,0.7765569359756097 -1,0.7304485045354253 -1,0.7511685690789474 -1
hs021001_s,0.34893913675565275 -1,0.0158106620812 -1,0.032604588834489155 -1,0.003163658515096976 -1,0.8984442990483162 -1,0.8625419917036354 -1,0.873961153167084 -1
hs021301_s,0.3952661811770871 -1,0.0165517503165 -1,0.034819690603143535 -1,0.0036623339857756333 -1,0.8773439236111111 -1,0.8560075094218587 -1,0.8641099572416302 -1
hs021601_s,0.15687271040799097 -1,0.069160815797 -1,0.03474386723831683 -1,0.004306379637621336 -1,0.8139076290485829 -1,0.7809082874737945 -1,0.8019601236979167 -1
hs021701_s,0.11647308955024928 -1,0.0367906413004 -1,0.04465988306856146 -1,0.007560028636270663 -1,0.8226355235042735 -1,0.8022139097744361 -1,0.7665266039823009 -1
hs021801_s,0.32709569708611813 -1,0.017325069608 -1,0.03082044354906405 -1,0.003960698774448082 -1,0.8129366935483872 -1,0.7654230242932063 -1,0.8023095198995362 -1
hs021901_s,0.3501435089509934 -1,0.013916593622200001 -1,0.03366846548425267 -1,0.004682515399075216 -1,0.8802363964521452 -1,0.850495914064723 -1,0.858463687631428 -1
hs022101_s,0.2695926382320933 -1,0.0246332799961 -1,0.0424586421837839 -1,0.007330503197277877 -1,0.8432862514269407 -1,0.8202995064323843 -1,0.8353699004120879 -1
hs022201_s,0.10354904240514151 -1,0.0497527970365 -1,0.047633157876802355 -1,0.009623934458150381 -1,0.780750420984456 -1,0.7254264086500358 -1,0.705388318452381 -1
hs022301_s,0.1049539064890705 -1,0.0232672133399 -1,0.043260000000000014 -1,0.007700000000000001 -1,0.8580598214285714 -1,0.8064831801470588 -1,0.8380353515625 -1
hs022601_s,0.4277706221781671 -1,0.0190785555327 -1,0.03210275481334914 -1,0.004176818231895682 -1,0.7756104571984436 -1,0.7240433758802817 -1,0.7689062717013888 -1
hs022701_s,0.33580307071413845 -1,0.0137033301101 -1,0.03756985356866996 -1,0.005189538140977725 -1,0.854364984772979 -1,0.831276259611671 -1,0.8430796734316865 -1
hs023001_s,0.09641041249129921 -1,0.029839768574200003 -1,0.044275 -1,0.00777 -1,0.8623839566929135 -1,0.8277610632431501 -1,0.8225111100611101 -1
hs023101_s,0.36283378397487104 -1,0.013350787365600001 -1,0.042578025654401774 -1,0.005934227125800178 -1,0.8279196906657019 -1,0.8067778894277186 -1,0.8114999243233618 -1
hs023201_s,0.13223145981566048 -1,0.0705142316453 -1,0.04312219156274874 -1,0.00632147725089432 -1,0.7879197115384615 -1,0.7593707471804511 -1,0.76228825 -1
hs023301_s,0.11099595974162221 -1,0.0837529686377 -1,0.044837095526116026 -1,0.006244024383524746 -1,0.7517574074074074 -1,0.7146554593373494 -1,0.7342267721036586 -1
hs023401_s,0.35110937614776194 -1,0.0139055951328 -1,0.03881517421455602 -1,0.005242054756666374 -1,0.8467799401197605 -1,0.8037660325428112 -1,0.8257081380208334 -1
hs023501_s,0.3980182142693549 -1,0.0152007984384 -1,0.037502820356640855 -1,0.005166666565609239 -1,0.8860809945913461 -1,0.8353605421686747 -1,0.862198841208134 -1
hs023701_s,0.09639310196740553 -1,0.0600311563892 -1,0.041510000000000005 -1,0.006965000000000001 -1,0.67284609375 -1,0.6373536487430167 -1,0.6624646857923497 -1
hs023901_s,0.321093688178435 -1,0.0193313935749 -1,0.047723900621490886 -1,0.008046775214299029 -1,0.8594151371308016 -1,0.8335252238333597 -1,0.8447297911166651 -1
hs024001_s,0.09843827532590367 -1,0.0460541193866 -1,0.03679485097042514 -1,0.003927303769474518 -1,0.6674758243405277 -1,0.605397939222441 -1,0.6154885829207921 -1
hs024101_s,0.10908014502641745 -1,0.104984441997 -1,0.058995371793989566 -1,0.007823844459954977 -1,0.866181081081081 -1,0.7975496848739496 -1,0.8082325 -1
hs024301_s,0.33011863487428056 -1,0.013996835732599999 -1,0.04432655937746702 -1,0.00838767037580041 -1,0.8465078978342749 -1,0.8230144841425986 -1,0.8315007130080668 -1
hs024401_s,0.28784411417543887 -1,0.0197146509043 -1,0.048304964323418575 -1,0.007421766090521845 -1,0.8751773005653267 -1,0.8395470891497462 -1,0.8436021133939774 -1
hs024501_s,0.09564491711012088 -1,0.0958356339527 -1,0.042035 -1,0.0076300000000000005 -1,0.7751041666666667 -1,0.7531920077653553 -1,0.7485525152439024 -1
hs024801_s,0.0950384083845187 -1,0.085168503151 -1,0.04288571627969301 -1,0.005102154682765963 -1,0.8503155060553633 -1,0.8326010237068966 -1,0.8516733774038462 -1
hs024901_s,0.17300203619496896 -1,0.043791239738000004 -1,0.039745261775275896 -1,0.004767498012276183 -1,0.8066030266343825 -1,0.756136405162413 -1,0.7697408823529412 -1
hs025301_s,0.2209489053851925 -1,0.0238165331311 -1,0.048008964181812205 -1,0.007276133976284141 -1,0.816574802141527 -1,0.769119956660168 -1,0.7805446517259779 -1
hs025401_s,0.23657198339998722 -1,0.015796783988500002 -1,0.05720555733556265 -1,0.009355685514987366 -1,0.8810131829470199 -1,0.8130069935847589 -1,0.8294103873239437 -1
hs025901_s,0.15789422143329865 -1,0.0444491226179 -1,0.04470454053252413 -1,0.005482539300463165 -1,0.8462678240740741 -1,0.8165050973360656 -1,0.8266056352459017 -1
hs026101_s,0.18353578016068786 -1,0.018483647624400003 -1,0.05452117941650982 -1,0.007104976119252489 -1,0.9061731477812995 -1,0.8663464216820987 -1,0.8930908906491499 -1
